source-id	variable	other_conditions	treatment_dates	duration_months	unit	treatment mean_orig	treatment mean	control mean	treatment SD	control SD	treatment n	control n
Larsen KS etal 2011_Reduced N cycling in response to elevated CO2, warming, and drought in a Danish heathland Synthesizing results of the CLIMAITE project after two years of treatments	N2O	0-5 cm soil	Oct 2005 - Sep 2007	18	g N/m2/yr	0.031 (g N/m2/yr)	0.031	0.016	0.012245	0.014694	6.0	6.0
Patil RH etal 2010_Effect of soil warming and rainfall patterns on soil N cycling in Northern Europe	N2O		oct. 2008-dec. 2008	2	g/ha	-2.6411	-2.6411	-0.5768	6.646	4.152	8.0	8.0
Patil RH etal 2010_Effect of soil warming and rainfall patterns on soil N cycling in Northern Europe	N2O		oct. 2008-feb. 2009	4	g/ha	7.131 (g/ha)	7.131	-2.569	14.133	7.478	8.0	8.0
Patil RH etal 2010_Effect of soil warming and rainfall patterns on soil N cycling in Northern Europe	N2O		oct. 2008-mar. 2009	5	g/ha	6.288	6.288	-5.7655	17.461	9.975	8.0	8.0
Bijoor NS etal 2008_Effects of temperature and fertilization on nitrogen cycling and community composition of an urban lawn	N2O	0-5cm	Jul. 2005 - Jan. 2006	6	mg/m2/day	0.308176 (mg/m2/day)	0.308176	0.490539	0.063197216	0.310064372	3.0	3.0
Bijoor NS etal 2008_Effects of temperature and fertilization on nitrogen cycling and community composition of an urban lawn	N2O	0-5cm	Jul. 2005 - Apr. 2006	9	mg/m2/day	1.06999	1.06999	0.489938	0.51104392	0.137822168	3.0	3.0
Bijoor NS etal 2008_Effects of temperature and fertilization on nitrogen cycling and community composition of an urban lawn	N2O	0-5cm	Jul. 2005 - Jun. 2006	11	mg/m2/day	0.544311	0.544311	0.194643	0.034503172	0.080406368	3.0	3.0
Bijoor NS etal 2008_Effects of temperature and fertilization on nitrogen cycling and community composition of an urban lawn	N2O	0-5cm	Jul. 2005 - Oct. 2006	15	mg/m2/day	0.197334	0.197334	0.0664614	0.048849328	0.114865547	3.0	3.0
Wang ZW etal 2011_Influence of increasing temperature and nitrogen input on greenhouse gas emissions from a desert steppe soil in Inner Mongolia	N2O	spring	Jun. 2006-May. 2007	11	ug N/m2/h	4.3 (ug N/m2/h)	4.3	3.6	a	a	6.0	6.0
Wang ZW etal 2011_Influence of increasing temperature and nitrogen input on greenhouse gas emissions from a desert steppe soil in Inner Mongolia	N2O	summer	Jun. 2006-Aug. 2007	14	ug N/m2/h	3.5	3.5	3.4	a	a	6.0	6.0
Wang ZW etal 2011_Influence of increasing temperature and nitrogen input on greenhouse gas emissions from a desert steppe soil in Inner Mongolia	N2O	autumn	Jun. 2006-Nov. 2007	17	ug N/m2/h	3.2	3.2	3.1	a	a	6.0	6.0
Wang ZW etal 2011_Influence of increasing temperature and nitrogen input on greenhouse gas emissions from a desert steppe soil in Inner Mongolia	N2O	winter	Jun. 2006-Feb. 2007	8	ug N/m2/h	3	3.0	2.1	b	b	6.0	6.0
Peterjohn WT etal 1994_Responses of trace gas fluxes and N availability to experimentally elevated soil temperatures	N2O	 forest floor	Jul.1991-Jul.1991	1	ug/m2/h	2.70033(ug/m2/h)	2.70033	5.70053	3.451551502	4.898489588	6.0	6.0
Peterjohn WT etal 1994_Responses of trace gas fluxes and N availability to experimentally elevated soil temperatures	N2O	 forest floor	Jul.1991-Aug.1991	2	ug/m2/h	2.77705	2.77705	2.77766	2.44897535	0.891246843	6.0	6.0
Peterjohn WT etal 1994_Responses of trace gas fluxes and N availability to experimentally elevated soil temperatures	N2O	 forest floor	Jul.1991-Sep.1991	3	ug/m2/h	5.5362	5.5362	1.35418	5.232991907	4.56594686	6.0	6.0
Peterjohn WT etal 1994_Responses of trace gas fluxes and N availability to experimentally elevated soil temperatures	N2O	 forest floor	Jul.1991-Oct.1991	4	ug/m2/h	1.20485	1.20485	-0.295352	2.337156143	1.782454494	6.0	6.0
Peterjohn WT etal 1994_Responses of trace gas fluxes and N availability to experimentally elevated soil temperatures	N2O	soil	Jul.1991-Jul.1991	1	ug/m2/h	2.10037	2.10037	-0.126903	1.780950507	3.006707018	6.0	6.0
McHale PJ etal 1998_Soil warming in a northern hardwood forest: trace gas fluxes and leaf litter decomposition	N2O		growing season 1993-Nov.1993	4	mg N2O-N.m-2.h-1	0.37(mg N2O-N.m-2.h-1)	0.37	0.83(reference)			1.0	1.0
McHale PJ etal 1998_Soil warming in a northern hardwood forest: trace gas fluxes and leaf litter decomposition	N2O		growing season 1993-Nov.1993	4	mg N2O-N.m-2.h-1	3.99(a)	3.99	0.83(a)	_		1.0	1.0
McHale PJ etal 1998_Soil warming in a northern hardwood forest: trace gas fluxes and leaf litter decomposition	N2O		growing season 1993-Nov.1993	4	mg N2O-N.m-2.h-1	2.42(a)	2.42	0.83(a)			1.0	1.0
McHale PJ etal 1998_Soil warming in a northern hardwood forest: trace gas fluxes and leaf litter decomposition	N2O		growing season 1993-Nov.1994	16	mg N2O-N.m-2.h-1	4.31(a)	4.31	4.11(a)			1.0	1.0
McHale PJ etal 1998_Soil warming in a northern hardwood forest: trace gas fluxes and leaf litter decomposition	N2O		growing season 1993-Nov.1994	16	mg N2O-N.m-2.h-1	7(a)	7.0	4.11(a)			1.0	1.0
McHale PJ etal 1998_Soil warming in a northern hardwood forest: trace gas fluxes and leaf litter decomposition	N2O		growing season 1993-Nov.1994	16	mg N2O-N.m-2.h-1	4.03(a)	4.03	4.11(a)			1.0	1.0
Hantschel RE etal 1995_Increasing the soil temperature to study global warming fffects on the soil nitrogen cycle in agroecosystems	N2O		Jan 1994 to Mar 1994	3	mg N2O-N.m–2.h–1	2.350642(mg N2O-N.m–2.h–1)	2.350642	1.084016842	4.414702	4.549411288	5.0	5.0
