source-id	latitude and longitude coordinate	latitude and longitude text	ecosystem	ecosystem-text	warming-method	warming-method-text	temperature-increase (degree C)	temperature-increase-text	warming-period-text	warming-timing	warming-season	warming-duration (months)	warming-other notes
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	53°03'N,3°28'W	Mols Bjerge, Denmark (DK) (56°23'N,10°57'E), Oldebroek, The Netherlands (NL)(52°24'N, 5°55'W), and Clocaenog, Wales (UK)53°03'N 3°28'W).	grassland/meadow/prairie	Heathland	curtain	"aluminum curtain(night warming), ""A passive nighttime warming manipulation was achieved using aluminum curtains covering the vegetation at night to prevent the efflux of infrared radiation from the plots. The curtains were automatically rolled out at night and rolled back at sunrise. Furthermore, the curtains were removed during storms and rain events to maintain the normal hydrology and wind stress."""	0.5,0.6,1.1			night time warming	all year	1,3,5,7,9,12,15,17,19,21,24	three sites
Larsen KS etal 2011_Reduced N cycling in response to elevated CO2, warming, and drought in a Danish heathland Synthesizing results of the CLIMAITE project after two years of treatments	55°53'N,11°58'E	50km NW of Copenhagen, Denmark (55°53'N, 11°58'E)	shrub/heathland	temperate heathland	curtain	"nighttime warming curtains, ""passive warming (T) of air and soil by nighttime warming curtains 50cm above ground"", ""Details on the experimental setup
are given by Mikkelsen et al. (2008)."""	1.5	1.5	Oct 2005 - Sep 2007	night time warming	all year	18	0-5 cm soil
Andresen LC etal 2010_Plant nutrient mobilization in temperate heathland responds to elevated CO2, temperature and drought	55°53'N,11°58'E	Brandbjerg (55º53′N 11º58′E)(same site as #4)	grassland/meadow/prairie	temperate heathland	curtain	"nighttime warming curtains, ""The temperature was increased by passive night-time warming by means of low automatic curtains that rolled over the vegetation during night (Beier et al. 2004a, b)"""	1.5	1.5	Oct 2005 - Sep 2007	night time warming	all year	18	Deschampsia (incubation without plant)
Allison SD etal 2010_Resistance of microbial and soil properties to warming treatment seven years after boreal fire	63°55'N,145°44'W	Fort Greely military base, Alaska (63◦55' N, 145◦44' W)	forest	Boreal forest	greenhouse	"greenhouse, ""For the warming manipulation (see Allison and Treseder, 2008
for details), we established 5 pairs of 2.5 m   2.5 m plots in
a w1 km2 area of burned forest. One plot in each pair served as
a control, and was located in a visually similar area within 10 m of
the treatment plot to minimize any effects of spatial variability. The
treatment plot was passively warmed with a greenhouse constructed
of two-by-fours in an A-frame covered with clear 6 mil
plastic sheeting (AT Plastics, Inc, Edmonton, Canada). The plastic
transmits 60e70% of photosynthetically active radiation (Krizek
et al., 2005)."""	1.2	1.2	2006-2007	all day warming	growing season	12	
Chapin FS etal 1995_Responses of arctic tundra to experimental and observed changes in climate	68°38'N,149°34'W	the northern foothills of the Brooks Range of arctic Alaska (68°38' N, 149°34' W, elevation 760 m).	tundra	moist tussock tundra	greenhouse	"Greenhouse, ""Temperature was raised using a
greenhouse placed over tundra. Light was reduced by
shading. In the temperature plot of each block there
were both a fertilized and a nonfertilized greenhouse,
and in the light attenuation plot there was a single
unfertilized shade frame. The area covered by each
greenhouse and shade frame was 12 m2, considerably
less than the 100 m2 of the control and fertilized plots.
Because the major source of patchiness in tussock tundra
is on the scale of decimetres, there was no difference
in variance of biomass or production among our
different-sized plots (data not shown). Greenhouses
were built of transparent 0.15-mm (6 mil) plastic sheeting
stretched over an A-shaped wooden frame that
ranged in height from 10 em at the side to 1 m in the
center. Uneven microtopography allowed air circulation
beneath the bases of the greenhouses, as in the open greenhouses of Havstrom eta!. ( 1993). The plastic
was replaced annually. Shade frames were identical to
greenhouses but were covered with optically neutral
shade cloth that removed 50% of incoming radiation
(confirmed with a LiCor quantum sensor). Greenhouses
and shade frames were placed on the plots each spring
immediately after snow melt and removed each autumn
from 1981 through 1989."""	2.2	3.5°C mean air   2.2°C soil 	since Jun.1981	all day warming	all year	84,88,76,98,24	
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	68°20'N,20°51'E	Abisko, Sweden (68°20'N, 20°51' E)	tundra	Tundra	greenhouse	"greenhouse, ""by plastic
greenhouses replicated six times at the Abisko sites
and four and two times at the Toolik sites and maintained
since 1989. The greenhouses at Abisko were
dome-shaped 1.2 × 1.2 m constructions (Havström et al., 1993; Jonasson et al., 1999b), whereas the greenhouses
at the Toolik sites were 2.5 × 5 m rectangular
constructions fixed onto a permanent wooden frame
(Shaver et al., 1998). The greenhouses at Abisko were
of thin plastic and reduced the photosynthetically active
radiation by approximately 10%, while the plastic
used at Toolik was thicker and reduced the light by
about 20%. The greenhouses were raised each year
in June after snowmelt and maintained to late August.
Havström et al. (1993), Jonasson et al. (1999b)
and Michelsen et al. (1996a) give additional details of
treatment effects on a variety of other parameters at
the Abisko sites, and Gough et al. (1999), Johnson et
al. (1999) and Shaver et al. (1995, 1998) give details
from the Toolik sites."""	1.5	1_2	1989-Jun. 1994	all day warming	growing season	48,60,62,120,122	low-latitude heath
Sorensen PL etal 2008_Nitrogen Uptake During One Year in Subarctic Plant Functional Groups and in Microbes After Long-Term Warming and Fertilization	Abisko, Sweden	Abisko, Sweden	shrub/heathland	dry heathland	greenhouse	"greenhouse, ""Each year in early June, just after snowmelt, and
until the end of August or early September, the
temperature was raised by erecting dome-shaped
plastic greenhouses with a 1.2 9 1.2 m2 surface
area. The greenhouses enhanced the air temperature
by 3.9 C. The soil temperature was enhanced
by 1.2–2.0 C above an average temperature of
7.7 C in the control plots, and the greenhouses
reduced photosynthetically active radiation by 9%
(Havstro¨m and others 1993; Michelsen and others 1996a; Rinnan and others 2007)"""	1.6	1.2-2	Jun.1989-Jul.2001	all day warming	growing season	25,37	
Verburg PSJ etal 2000_Nitrogen transformations in a forested catchment in southern Norway subjected to elevated temperature and CO2	58°23'N,8°19'E	Grimstad, Southern Norway(58°23'N 8°19'E, 300m a.s.l., MAP 1400mm, MAT 5°C)	forest	Forest	greenhouse	"Greenhouse, ""The greenhouse was separated
in two parts by a transparent wall. From June 1994, in
the lower 80% of the greenhouse (Roof-T), CO2 was
increased during the growing season by 200 ml l
ÿ1
compared to the upper 20% (Roof-C). The air temperature
was increased by 58C in January and 38C in
July compared to Roof-C with intermediate temperature
increases in the intervening months (Fig. 1). Prior
to the treatment, air temperature throughout the greenhouse
was homogeneous."""	4	3-5°C in air temperature	 Jun.199-Jun.1995	all day warming	all year	12,24	1994-1995  under Calluna
Jonasson S etal 1993_In-situ mineralization of nitrogen and phosphorus of arctic soils after perturbations simulating climate change	Abisko in northern Swedish Lapland.	Abisko in northern Swedish Lapland.	shrub/heathland	Heath  and Fellfield 	greenhouse	"Greenhouse after snow smelt(Jun-Sep from 1989to 1991?), ""Temperature and light were manipulated at each site within six
blocks of 400 m 2 by erecting dome-shaped plastic greenhouses and
shading screens (both about 50 cm high and with 1.2 x 1.2 m surface
area) just after snow melt. Two types of greenhouses were built, one
with a 5-10 cm gap above the ground on two sides, and the other
with the plastic tightly fixed to the ground. Both types had a
ventilation vent at the top, and gave a low and a high temperature
increase, respectively (see Havstr6m et al. 1993). The plastic was a
0.05-mm thick polyethylene film supported by PVC tubes. The
shading treatment, which reduced light by about 60%, consisted of
a similar construction, but covered by hessian (sack-cloth) instead
of polyethylene film."""	0.9,1.1,1.9	soil  temperature 0.9; air temperature 2.8	Jun.1989-Sep.1991	all day warming	growing season	24,27	heath 
Malchair S etal 2010_Do climate warming and plant species richness affect potential nitrification, basal respiration and ammonia-oxidizing bacteria in experimental grasslands? Soil Biology and Biochemistry 42(11): 1944-1951	51°09'N,4°24'E	Drie Eiken, Belgium, 51°09'N, 4°24'E	grassland/meadow/prairie	experimental grassland	greenhouse	"heated chambers, ""The platform consisted of 12 sunlit, climate controlledchambers
facing south (2.25 m2 ground area). Half of the chambers
were at ambient temperature (unheated chambers) while the other
half were continuously warmed 3  C above the fluctuating ambient
values (heated chambers)."" ""Further details on the experimental platform,
growth and climate conditions can be found in Lemmens et al.
(2006) and De Boeck et al. (2008)"""	3	3	Jul. 2003-Nov. 2004	all day warming	all year	16,28	0-5 cm soil
