source-id	source-id-short	source-authors	source-data	source-title	source-journal	source-doi
Allison SD etal 2010_Resistance of microbial and soil properties to warming treatment seven years after boreal fire	Allison SD etal 2010	Allison SD, McGuire KL, Treseder KK	2010	Resistance of microbial and soil properties to warming treatment seven years after boreal fire	Soil Biology & Biochemistry 42(10): 1872-1878	10.1016/j.soilbio.2010.07.011
An YA etal 2005_Plant nitrogen concentration, use efficiency, and contents in a tallgrass prairie ecosystem under experimental warming	An YA etal 2005	An YA, Wan SQ, Zhou XH, Subedar AA, Wallace LL, Luo YQ	2005	Plant nitrogen concentration, use efficiency, and contents in a tallgrass prairie ecosystem under experimental warming	Global Change Biology 11(10): 1733-1744	10.1111/j.1365-2486.2005.01030.x
Andresen LC etal 2010_Plant nutrient mobilization in temperate heathland responds to elevated CO2, temperature and drought	Andresen LC etal 2010	Andresen LC, Michelsen A, Jonasson S, Schmidt IK, Mikkelsen TN, Ambus P, Beier C	2010	Plant nutrient mobilization in temperate heathland responds to elevated CO2, temperature and drought	Plant and Soil 328(1-2): 381-396	10.1007/s11104-009-0118-7
Bijoor NS etal 2008_Effects of temperature and fertilization on nitrogen cycling and community composition of an urban lawn	Bijoor NS etal 2008	Bijoor NS, Czimczik CI, Pataki DE, Billings SA	2008	Effects of temperature and fertilization on nitrogen cycling and community composition of an urban lawn	Global Change Biology 14(9): 2119-2131	10.1111/j.1365-2486.2008.01617.x
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	Butler SM etal 2012	Butler SM, Melillo JM, Johnson JE, Mohan J, Steudler PA, Lux H, Burrows E, Smith RM, Vario CL, Scott L, Hill TD, Aponte N, Bowles F	2012	Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	Oecologia 168(3): 819-828	10.1007/s00442-011-2133-7
Chapin FS etal 1995_Responses of arctic tundra to experimental and observed changes in climate	Chapin FS etal 1995	Chapin FS, Shaver GR, Giblin AE, Nadelhoffer KJ, Laundre JA	1995	Responses of arctic tundra to experimental and observed changes in climate	Ecology 76(3): 694-711	10.2307/1939337
Dawes MA etal 2011_Growth and community responses of alpine dwarf shrubs to in situ CO2 enrichment and soil warming	Dawes MA etal 2011	Dawes MA, Hagedorn F, Zumbrunn T, Handa IT, Haettenschwiler S, Wipf S, Rixen C	2011	Growth and community responses of alpine dwarf shrubs to in situ CO2 enrichment and soil warming	New Phytologist 191(3): 806-818	10.1111/j.1469-8137.2011.03722.x
Dijkstra FA etal 2010_Contrasting effects of elevated CO2 and warming on nitrogen cycling in a semiarid grassland	Dijkstra FA etal 2010	Dijkstra FA, Blumenthal D, Morgan JA, Pendall E, Carrillo Y, Follett RF	2010	Contrasting effects of elevated CO2 and warming on nitrogen cycling in a semiarid grassland	New Phytologist 187(2): 426-437	10.1111/j.1469-8137.2010.03293.x
Hantschel RE etal 1995_Increasing the soil temperature to study global warming fffects on the soil nitrogen cycle in agroecosystems	Hantschel RE etal 1995	Hantschel RE, Kamp T, Beese F	1995	Increasing the soil temperature to study global warming fffects on the soil nitrogen cycle in agroecosystems	Journal of Biogeography 22(2/3): 375-380	
Hartley AE etal 1999_Plant performance and soil nitrogen mineralization in response to simulated climate change in subarctic dwarf shrub heath	Hartley AE etal 1999	Hartley AE, Neill C, Melillo JM, Crabtree R, Bowles FP	1999	Plant performance and soil nitrogen mineralization in response to simulated climate change in subarctic dwarf shrub heath	Oikos 86(2): 331-343	10.2307/3546450
Hobbie SE etal 1998_Response of tundra plant biomass, aboveground production, nitrogen, and CO(2) flux to experimental warming	Hobbie SE etal 1998	Hobbie SE, Chapin FS	1998	Response of tundra plant biomass, aboveground production, nitrogen, and CO(2) flux to experimental warming	Ecology 79(5): 1526-1544	10.1890/0012-9658(1998)079[1526:TROTPB]2.0.CO;2
Hovenden MJ etal 2008_Warming prevents the elevated CO2-induced reduction in available soil nitrogen in a temperate, perennial grassland	Hovenden MJ etal 2008	Hovenden MJ, Newton PCD, Carran RA, Theobald P, Wills KE, Schoor JKV, Williams AL, Osanai Y	2008	Warming prevents the elevated CO2-induced reduction in available soil nitrogen in a temperate, perennial grassland	Global Change Biology 14(5): 1018-1024	10.1111/j.1365-2486.2008.01558.x
Hu Y etal 2011_Effects of warming and grazing on N2O fluxes in an alpine meadow ecosystem on the Tibetan plateau	Hu Y etal 2011	Hu Y, Chang X, Lin X, Wang Y, Wang S, Duan J, Zhang Z, Yang X, Luo C, Xu G, Zhao X	2011	Effects of warming and grazing on N2O fluxes in an alpine meadow ecosystem on the Tibetan plateau	Soil Biology and Biochemistry 42(6): 944-952	10.1016/j.soilbio.2010.02.011
Jamieson N etal 1998_Soil N dynamics in a natural calcareous grassland under a changing climate	Jamieson N etal 1998	Jamieson N, Barraclough D, Unkovich M, Monaghan R	1998	Soil N dynamics in a natural calcareous grassland under a changing climate	Biology and Fertility of Soils 27(3): 267-273	10.1007/s003740050432
Jonasson S etal 1993_In-situ mineralization of nitrogen and phosphorus of arctic soils after perturbations simulating climate change	Jonasson S etal 1993	Jonasson S, Havstrom M, Jensen M, Callaghan TV	1993	In-situ mineralization of nitrogen and phosphorus of arctic soils after perturbations simulating climate change	Oecologia 95(2): 179-186	10.1007/BF00323488
Klein JA etal 2007_Experimental warming, not grazing, decreases rangeland quality on the Tibetan Plateau	Klein JA etal 2007	Klein JA, Harte J, Zhao X-Q	2007	Experimental warming, not grazing, decreases rangeland quality on the Tibetan Plateau	Ecological Applications 17(2): 541-557	10.1890/05-0685
Larsen KS etal 2011_Reduced N cycling in response to elevated CO2, warming, and drought in a Danish heathland Synthesizing results of the CLIMAITE project after two years of treatments	Larsen KS etal 2011	Larsen KS, Andresen LC, Beier C, Jonasson S, Albert KR, Ambus PER, Arndal MF, Carter MS, Christensen S, Holmstrup M, Ibrom A, Kongstad J, Van Der Linden L, Maraldo K, Michelsen A, Mikkelsen TN, Pilegaard KIM, Prieme A, Ro-Poulsen H, Schmidt IK, Selsted MB, Stevnbak K	2011	Reduced N cycling in response to elevated CO2, warming, and drought in a Danish heathland: Synthesizing results of the CLIMAITE project after two years of treatments	Global Change Biology 17(5): 1884-1899	10.1111/j.1365-2486.2010.02351.x
Lilley JM etal 2001_Nutritive value and the nitrogen dynamics of Trifolium subterraneum and Phalaris aquatica under warmer, high CO2 conditions	Lilley JM etal 2001	Lilley JM, Bolger TP, Peoples MB, Gifford RM	2001	Nutritive value and the nitrogen dynamics of Trifolium subterraneum and Phalaris aquatica under warmer, high CO2 conditions	New Phytologist 150(2): 385-395	10.1046/j.1469-8137.2001.00101.x
Ma L-N etal 2011_The effects of warming and nitrogen addition on soil nitrogen cycling in a temperate grassland, northeastern China	Ma L-N etal 2011	Ma L-N, Lu X-T, Liu Y, Guo J-X, Zhang N-Y, Yang J-Q, Wang R-Z	2011	The effects of warming and nitrogen addition on soil nitrogen cycling in a temperate grassland, northeastern China	Plos One 6(11)	10.1371/journal.pone.0027645
