variable_name,dimensions,shape,dtype,ndim,size,long_name,units,FillValue,flags
ALATG,ngrid,"(1,)",float32,1,1,Latitude,degrees north,,
ALTIG,ngrid,"(1,)",float32,1,1,Altitude above sea-level,m,,
ATCAG,ngrid,"(1,)",float32,1,1,Mean annual temperaure,oC,,
IDTBLG,ngrid,"(1,)",int8,1,1,Water table flag,none,,"0=No water table,1=Natural stationary water table,2=Natural mobile water table,3=Artificial stationary water table,4=Artificial mobile water table"
OXYEG,ngrid,"(1,)",float32,1,1,Atmospheric O2,ppm,,
Z2GEG,ngrid,"(1,)",float32,1,1,Atmospheric N2,ppm,,
CO2EIG,ngrid,"(1,)",float32,1,1,Atmospheric CO2,ppm,,
CH4EG,ngrid,"(1,)",float32,1,1,Atmospheric CH4,ppm,,
Z2OEG,ngrid,"(1,)",float32,1,1,Atmospheric N2O,ppm,,
ZNH3EG,ngrid,"(1,)",float32,1,1,Atmospheric NH3,ppm,,
IETYPG,ngrid,"(1,)",int8,1,1,Koppen climate zone,none,,
DTBLIG,ngrid,"(1,)",float32,1,1,Depth of natural water table,m,,
DTBLDIG,ngrid,"(1,)",float32,1,1,Depth of artificial water table,m,,
DTBLGG,ngrid,"(1,)",float32,1,1,Slope of natural water table relative to landscape surface,none,,
RCHQNG,ngrid,"(1,)",float32,1,1,Boundary condition for North surface runoff,none,,varying between 0 and 1
RCHQEG,ngrid,"(1,)",float32,1,1,Boundary condition for East surface runoff,none,,varying between 0 and 1
RCHQSG,ngrid,"(1,)",float32,1,1,Boundary condition for S surface runoff,none,,varying between 0 and 1
RCHQWG,ngrid,"(1,)",float32,1,1,Boundary condition for W surface runoff,none,,varying between 0 and 1
RCHGNUG,ngrid,"(1,)",float32,1,1,Bound condition for N subsurf flow,none,,
RCHGEUG,ngrid,"(1,)",float32,1,1,Bound condition for E subsurf flow,none,,
RCHGSUG,ngrid,"(1,)",float32,1,1,Bound condition for S subsurf flow,none,,
RCHGWUG,ngrid,"(1,)",float32,1,1,Bound condition for W subsurf flow,none,,
RCHGNTG,ngrid,"(1,)",float32,1,1,North edge distance to water table,m,,
RCHGETG,ngrid,"(1,)",float32,1,1,East edge distance to water table,m,,
RCHGSTG,ngrid,"(1,)",float32,1,1,South edge distance to water table,m,,
RCHGWTG,ngrid,"(1,)",float32,1,1,West edge distance to water table,m,,
RCHGDG,ngrid,"(1,)",float32,1,1,Lower boundary conditions for water flow,none,,varying between 0 and 1
DHI,"ngrid, ncol","(1, 1)",float32,2,1,,,,
DVI,"ngrid, nrow","(1, 1)",float32,2,1,,,,
topo_grid,ntopou,"(1,)",int32,1,1,grid ID of the topo unit,none,,
NH1,ntopou,"(1,)",int8,1,1,Starting column from the west,none,,
NH2,ntopou,"(1,)",int8,1,1,Ending column at the east,none,,
NV1,ntopou,"(1,)",int8,1,1,Starting row from the north,none,,
NV2,ntopou,"(1,)",int8,1,1,Ending row at the south,none,,
ASPX,ntopou,"(1,)",float32,1,1,Aspect,degrees,,
SL0,ntopou,"(1,)",float32,1,1,Slope,degrees,,
DPTHSX,ntopou,"(1,)",float32,1,1,Initial snowpack depth,m,,
PSIFC,ntopou,"(1,)",float32,1,1,Water potential at field capacity,MPa,,
